Dep_ID,month_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres
CGMP_201807_CG,7,day,31,317,1,305,13,15,147,0,0,17,0.0031545741324921135,0.9621451104100947,0.04100946372239748,0.0473186119873817,0.4637223974763407,0,0,0.05362776025236593
CGMP_201807_CG,7,night,31,357,1,355,83,63,39,0,0,32,0.0028011204481792717,0.9943977591036415,0.23249299719887956,0.17647058823529413,0.1092436974789916,0,0,0.0896358543417367
CGMP_201807_CG,7,twilight,31,63,0,61,16,4,20,0,0,42,0,0.9682539682539683,0.25396825396825395,0.06349206349206349,0.31746031746031744,0,0,0.6666666666666666
CGMP_201812_CG,1,day,31,414,0,3,18,28,140,0,0,3,0,0.007246376811594203,0.043478260869565216,0.06763285024154589,0.33816425120772947,0,0,0.007246376811594203
CGMP_201812_CG,1,night,31,259,1,13,66,52,14,0,0,41,0.003861003861003861,0.05019305019305019,0.2548262548262548,0.20077220077220076,0.05405405405405406,0,0,0.1583011583011583
CGMP_201812_CG,1,twilight,31,71,0,0,33,1,13,0,0,49,0,0,0.4647887323943662,0.014084507042253521,0.18309859154929578,0,0,0.6901408450704225
CGMP_201812_CG,2,day,20,249,1,0,15,17,74,0,0,10,0.004016064257028112,0,0.060240963855421686,0.06827309236947791,0.2971887550200803,0,0,0.040160642570281124
CGMP_201812_CG,2,night,19,171,2,6,77,23,10,0,0,15,0.011695906432748537,0.03508771929824561,0.4502923976608187,0.13450292397660818,0.05847953216374269,0,0,0.08771929824561403
CGMP_201812_CG,2,twilight,19,38,2,0,27,0,12,0,0,33,0.05263157894736842,0,0.7105263157894737,0,0.3157894736842105,0,0,0.868421052631579
CGMP_201812_CG,12,day,21,282,2,8,21,31,53,0,0,11,0.0070921985815602835,0.028368794326241134,0.07446808510638298,0.1099290780141844,0.1879432624113475,0,0,0.03900709219858156
CGMP_201812_CG,12,night,20,160,0,24,27,41,9,0,0,10,0,0.15,0.16875,0.25625,0.05625,0,0,0.0625
CGMP_201812_CG,12,twilight,20,40,0,0,14,2,2,0,0,39,0,0,0.35,0.05,0.05,0,0,0.975
CGMP_201904_CG,4,day,15,155,2,0,37,2,72,2,0,12,0.012903225806451613,0,0.23870967741935484,0.012903225806451613,0.4645161290322581,0.012903225806451613,0,0.07741935483870968
CGMP_201904_CG,5,day,31,320,81,10,13,4,125,81,0,11,0.253125,0.03125,0.040625,0.0125,0.390625,0.253125,0,0.034375
CGMP_201904_CG,5,night,31,363,97,15,91,1,24,97,0,49,0.26721763085399447,0.04132231404958678,0.25068870523415976,0.0027548209366391185,0.06611570247933884,0.26721763085399447,0,0.1349862258953168
CGMP_201904_CG,5,twilight,31,61,11,4,27,0,13,11,0,33,0.18032786885245902,0.06557377049180328,0.4426229508196721,0,0.21311475409836064,0.18032786885245902,0,0.5409836065573771
CGMP_201904_CG,6,day,24,232,33,157,7,0,82,33,0,1,0.14224137931034483,0.6767241379310345,0.03017241379310345,0,0.35344827586206895,0.14224137931034483,0,0.004310344827586207
CGMP_201904_CG,6,night,23,276,35,240,42,0,20,35,0,29,0.12681159420289856,0.8695652173913043,0.15217391304347827,0,0.07246376811594203,0.12681159420289856,0,0.10507246376811594
CGMP_201904_CG,6,twilight,23,46,3,40,14,0,12,3,0,40,0.06521739130434782,0.8695652173913043,0.30434782608695654,0,0.2608695652173913,0.06521739130434782,0,0.8695652173913043
DAMPIER_202009_DNE,9,day,23,268,0,188,104,52,40,0,0,23,0,0.7014925373134329,0.3880597014925373,0.19402985074626866,0.14925373134328357,0,0,0.08582089552238806
DAMPIER_202009_DNE,9,night,23,250,0,183,67,35,23,0,0,43,0,0.732,0.268,0.14,0.092,0,0,0.172
DAMPIER_202009_DNE,9,twilight,20,20,0,15,9,4,2,0,0,0,0,0.75,0.45,0.2,0.1,0,0,0
DAMPIER_202009_DNE,10,day,31,403,0,68,320,50,43,0,0,28,0,0.1687344913151365,0.794044665012407,0.12406947890818859,0.10669975186104218,0,0,0.06947890818858561
DAMPIER_202009_DNE,10,night,31,291,0,74,148,5,12,0,0,34,0,0.2542955326460481,0.5085910652920962,0.01718213058419244,0.041237113402061855,0,0,0.11683848797250859
DAMPIER_202009_DNE,10,twilight,25,50,0,5,40,2,4,0,0,30,0,0.1,0.8,0.04,0.08,0,0,0.6
MURAT_202002_MRE,2,day,23,290,25,0,17,21,0,0,0,7,0.08620689655172414,0,0.05862068965517241,0.07241379310344828,0,0,0,0.02413793103448276
MURAT_202002_MRE,2,night,23,203,10,0,43,16,0,0,0,24,0.04926108374384237,0,0.21182266009852216,0.07881773399014778,0,0,0,0.11822660098522167
MURAT_202002_MRE,2,twilight,23,45,2,0,19,4,0,0,0,34,0.044444444444444446,0,0.4222222222222222,0.08888888888888889,0,0,0,0.7555555555555555
MURAT_202002_MRE,3,day,31,372,29,0,5,146,0,0,2,22,0.07795698924731183,0,0.013440860215053764,0.3924731182795699,0,0,0.005376344086021506,0.05913978494623656
MURAT_202002_MRE,3,night,31,310,9,0,57,108,2,0,1,46,0.02903225806451613,0,0.18387096774193548,0.34838709677419355,0.0064516129032258064,0,0.0032258064516129032,0.14838709677419354
