Dep_ID,month_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres,tidal_mag_m,mean_water_temp_C,mean_wind_m_sec,mean_wind_km_h,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
CGMP_201807_CG,7,day,31,317,0,305,13,15,147,1,0,17,0,0.9621451104100947,0.04100946372239748,0.0473186119873817,0.4637223974763407,0.0031545741324921135,0,0.05362776025236593,1.393,16.30820189274448,4.630914826498422,16.67129337539432,97.6,13.5,18.1
CGMP_201807_CG,7,night,31,357,0,355,83,63,39,1,0,32,0,0.9943977591036415,0.23249299719887956,0.17647058823529413,0.1092436974789916,0.0028011204481792717,0,0.0896358543417367,2.0029999999999997,16.3781512605042,4.011764705882353,14.442352941176472,97.6,13.5,18.1
CGMP_201807_CG,7,twilight,31,63,0,61,16,4,20,0,0,42,0,0.9682539682539683,0.25396825396825395,0.06349206349206349,0.31746031746031744,0,0,0.6666666666666666,1.5819999999999999,16.366666666666667,4.103174603174603,14.771428571428572,97.6,13.5,18.1
CGMP_201812_CG,1,day,31,414,0,3,18,28,140,0,0,3,0,0.007246376811594203,0.043478260869565216,0.06763285024154589,0.33816425120772947,0,0,0.007246376811594203,1.9860000000000002,21.408454106280193,3.2628019323671498,11.74608695652174,152.3,14.4,21.4
CGMP_201812_CG,1,night,31,259,1,13,66,52,14,0,0,41,0.003861003861003861,0.05019305019305019,0.2548262548262548,0.20077220077220076,0.05405405405405406,0,0,0.1583011583011583,1.2120000000000002,21.47876447876448,2.777606177606178,9.99938223938224,152.3,14.4,21.4
CGMP_201812_CG,1,twilight,31,71,0,0,33,1,13,0,0,49,0,0,0.4647887323943662,0.014084507042253521,0.18309859154929578,0,0,0.6901408450704225,1.408,21.407042253521126,2.808450704225352,10.110422535211267,152.3,14.4,21.4
CGMP_201812_CG,2,day,20,249,1,0,15,17,74,0,0,10,0.004016064257028112,0,0.060240963855421686,0.06827309236947791,0.2971887550200803,0,0,0.040160642570281124,1.9560000000000002,21.79317269076305,4.038152610441767,14.537349397590361,178.1,13.7,20.7
CGMP_201812_CG,2,night,19,171,2,6,77,23,10,0,0,15,0.011695906432748537,0.03508771929824561,0.4502923976608187,0.13450292397660818,0.05847953216374269,0,0,0.08771929824561403,1.271,21.84561403508772,2.757309941520468,9.926315789473684,178.1,13.7,20.7
CGMP_201812_CG,2,twilight,19,38,2,0,27,0,12,0,0,33,0.05263157894736842,0,0.7105263157894737,0,0.3157894736842105,0,0,0.868421052631579,1.196,21.9,3.15,11.34,178.1,13.7,20.7
CGMP_201812_CG,12,day,21,282,2,8,21,31,53,0,0,11,0.0070921985815602835,0.028368794326241134,0.07446808510638298,0.1099290780141844,0.1879432624113475,0,0,0.03900709219858156,1.869,20.880141843971632,3.1425531914893616,11.313191489361703,126.5,14.3,21
CGMP_201812_CG,12,night,20,160,0,24,27,41,9,0,0,10,0,0.15,0.16875,0.25625,0.05625,0,0,0.0625,1.213,20.91875,2.975,10.71,126.5,14.3,21
