SiteID,Start.date,Start.hour,PresentTotal,PresenceTime,CPAPresent,TBPresent,ManeuverCPAPres,ManeuverTAPres,TAPresent,VesselCount,HumpbackPresent,DolphinPresent,Baleen,Minke,Other_Bio,FishChorusP,SnappingShrimp,Notes,ExtraNotes,Biology,Weekday
Cod Grounds,12/12/2018,9,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,10,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,11,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,12,1,,0,3,0,0,0,3,0,0,0,0,,0,1,,"possible RW gunshots, also a tonal call that doesn't quite sound like Mn ~12:32:30, continues intermittently throughout the day",Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,13,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,what's calling at 13:13:35,Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,tonal call again 14:25:24,Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,"tonal call again 15:12:07, 15:29:54",Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,12/12/2018,18,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,tonal call 18:20:38,"Fish Chorus, Snapping Shrimp",Wednesday
Cod Grounds,12/12/2018,19,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Wednesday
Cod Grounds,12/12/2018,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"500 Hz, 1-2 kHz",,"Fish Chorus, Snapping Shrimp",Wednesday
Cod Grounds,12/12/2018,21,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Wednesday
Cod Grounds,12/12/2018,22,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Wednesday
Cod Grounds,12/12/2018,23,0,,0,0,0,0,0,0,0,1,0,0,,1,1,500 Hz,,"Delphinid spp., Fish Chorus, Snapping Shrimp",Wednesday
Cod Grounds,12/13/2018,0,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,1,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,2,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,Two LF pulses at 12:07:51,"Delphinid spp., Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,3,1,,0,1,0,0,0,1,0,1,0,0,,0,1,,LF pulse at 03:08:18,"Delphinid spp., Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,4,0,,0,0,0,0,0,0,1,1,0,0,1,0,1,,"weird fish/dolphin pulses start 04:09:25, again at 04:31:58; check possible Mn at 04:26:25","Baleen Whales, Delphinid spp., Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,5,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,6,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,7,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,8,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,"weird sound, don't think it's biological 08:14:10",Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,9,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,"~50 Hz pulse at 09:15:54, whale?",Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,10,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible RW gunshot ~10:21:12,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,11,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,"fish (?) at 11:15:11, 11:32:25",Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,12,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,13,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,"13:21:58 has same ~50 Hz pulse as 09:15:54, whale?",Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
Cod Grounds,12/13/2018,18,0,,0,0,0,0,0,0,1,0,0,0,,1,1,500 Hz,humpback 18:05:34,"Baleen Whales, Fish Chorus, Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,19,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,21,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,22,0,,0,0,0,0,0,0,0,1,0,0,,1,1,500 Hz,,"Delphinid spp., Fish Chorus, Snapping Shrimp",Thursday
Cod Grounds,12/13/2018,23,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Thursday
Cod Grounds,12/14/2018,0,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,also individual fish pulses; does this count as chorus?,"Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,1,0,,0,0,0,0,0,0,1,0,0,0,,1,1,500 Hz,"humpback at 1:04:49, 1:19:58; also individual fish pulses; does this count as chorus?","Baleen Whales, Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,2,0,,0,0,0,0,0,0,1,0,0,0,,1,1,500 Hz,humpback 02:29:55,"Baleen Whales, Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,3,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,humpback at 3:33:10,"Baleen Whales, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,5,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,6,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Friday
Cod Grounds,12/14/2018,7,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,8,0,,0,0,0,0,0,0,0,1,0,0,,1,1,500 Hz,,"Delphinid spp., Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,9,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,check re: chorus ~9:10:00,"Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,10,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,humpback 10:26:12,"Baleen Whales, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,11,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Friday
Cod Grounds,12/14/2018,12,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,13,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/14/2018,17,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,18,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,fish might be too faint?,"Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,19,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,20,0,,0,0,0,0,0,0,0,1,0,0,,1,1,"500 Hz, 1-2 kHz",,"Delphinid spp., Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,21,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"500 Hz, 1-2 kHz",21:05:00 -- rain?,"Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,22,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Friday
Cod Grounds,12/14/2018,23,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
Cod Grounds,12/15/2018,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,1,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,check 01:21:35 downsweep in LF pass,"Delphinid spp., Snapping Shrimp",Saturday
Cod Grounds,12/15/2018,2,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,weird barky calls ~2:32:26,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,3,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Saturday
Cod Grounds,12/15/2018,4,0,,0,0,0,0,0,0,1,1,0,0,,0,1,,humpback 4:32:05,"Baleen Whales, Delphinid spp., Snapping Shrimp",Saturday
Cod Grounds,12/15/2018,5,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,6,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,7,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,humpback 7:20:19,"Baleen Whales, Snapping Shrimp",Saturday
Cod Grounds,12/15/2018,8,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,9,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,10,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,11,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,12,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,13,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Saturday
Cod Grounds,12/15/2018,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,unlikely to be biological (GD verified),Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,unlikely to be biological (GD verified),Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,unlikely to be biological (GD verified),Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,18,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,19,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,20,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
Cod Grounds,12/15/2018,21,0,,0,0,0,0,0,0,1,1,0,0,,0,1,,"humpback at 21:14:06, also 21:26:33","Baleen Whales, Delphinid spp., Snapping Shrimp",Saturday
Cod Grounds,12/15/2018,22,0,,0,0,0,0,0,0,1,1,0,0,,0,1,,humpback at 22:21:02,"Baleen Whales, Delphinid spp., Snapping Shrimp",Saturday
Cod Grounds,12/15/2018,23,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,humpback at 23:22:13,"Baleen Whales, Snapping Shrimp",Saturday
