"","Begin_Date","Begin_Hour","Dolphin_other","Mn_","Mn_other","Mn_sing","Mn_social","Mn_song","Mn_uk","baleen_uk","dolphin_BP","dolphin_other","fish_C","fish_P","fish_c","fish_chorus","fish_p","mN_","minke_sw","minke_uk","uk_","uk_uk","dol_w","Notes","SiteID"
"1",2019-04-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"2",2019-04-11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"3",2019-04-11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"4",2019-04-11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"5",2019-04-11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"6",2019-04-11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"7",2019-04-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"8",2019-04-11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"9",2019-04-11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"10",2019-04-11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
"11",2019-04-11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,"CGMP"
