"","Begin_Date","Begin_Hour","fish_c","fish_p","fish_uk","minke_sw","mn_song","uk_c","uk_lr","uk_p","uk_uk","dol_w","Notes","SiteID"
"1",2020-09-09,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"2",2020-09-09,1,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"3",2020-09-09,2,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"4",2020-09-09,3,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"5",2020-09-09,4,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"6",2020-09-09,5,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"7",2020-09-09,6,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"8",2020-09-09,7,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"9",2020-09-09,8,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"10",2020-09-09,9,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"11",2020-09-09,10,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"12",2020-09-09,11,0,0,0,0,1,0,0,0,2,0,"; mechanical?, fish?; boat motor","DNE"
"13",2020-09-09,12,0,0,0,0,1,0,0,0,3,1,"low clicks mn?; ; rusty metal; boat motor","DNE"
"14",2020-09-09,13,0,0,1,0,1,0,0,0,0,1,"low clicks mn?; ","DNE"
"15",2020-09-09,14,0,0,1,0,1,0,0,0,0,0,"low clicks mn?; ","DNE"
"16",2020-09-09,15,0,0,1,0,1,0,0,0,2,1,"low clicks mn?; ; metal tapping; scraping/tapping","DNE"
"17",2020-09-09,16,0,0,1,0,1,0,0,0,2,0,"low clicks mn?; ; machine whirring; metal tapping","DNE"
"18",2020-09-09,17,0,1,1,0,2,0,0,0,1,1,"low clicks mn?; ; ; ; low rattling","DNE"
"19",2020-09-09,18,0,1,0,0,1,0,0,0,2,0,"; ; low rattling; metal clanging","DNE"
"20",2020-09-09,19,0,1,0,0,1,0,0,0,1,0,"; ; lr","DNE"
"21",2020-09-09,20,0,1,0,0,1,0,0,0,2,0,"; ; lr; squeak prob mn","DNE"
"22",2020-09-09,21,1,0,0,0,1,0,0,0,1,0,"; ; chirp prob mn","DNE"
"23",2020-09-09,22,1,0,0,0,1,0,0,0,0,0,NA,"DNE"
"24",2020-09-09,23,0,0,0,0,1,0,0,0,1,0,"; creak","DNE"
"25",2020-09-10,0,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"26",2020-09-10,1,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"27",2020-09-10,2,0,0,0,0,1,0,0,0,0,0,NA,"DNE"
"28",2020-09-10,3,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"29",2020-09-10,4,0,0,0,0,1,0,1,0,0,0,NA,"DNE"
"30",2020-09-10,5,0,0,0,0,2,0,1,0,1,0,"; ; ; lr","DNE"
"31",2020-09-10,6,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"32",2020-09-10,7,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"33",2020-09-10,8,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"34",2020-09-10,9,0,0,0,0,1,0,0,0,2,0,"; lr; squeak mn?","DNE"
"35",2020-09-10,10,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"36",2020-09-10,11,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"37",2020-09-10,12,0,1,0,0,1,0,0,0,1,0,"; ; lr","DNE"
"38",2020-09-10,13,0,1,0,0,1,0,0,0,2,0,"; ; lr; metal clang","DNE"
"39",2020-09-10,14,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"40",2020-09-10,15,0,1,0,0,1,0,0,0,1,0,"; ; lr","DNE"
"41",2020-09-10,16,1,1,0,0,1,0,0,0,1,0,"; ; ; lr","DNE"
"42",2020-09-10,17,1,1,0,0,2,0,0,0,2,0,"; lr; ; ; ; lr","DNE"
"43",2020-09-10,18,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
"44",2020-09-10,19,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"45",2020-09-10,20,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"46",2020-09-10,21,1,0,0,0,1,0,0,0,1,0,"; ; lr","DNE"
"47",2020-09-10,22,1,0,0,0,1,0,0,0,0,0,NA,"DNE"
"48",2020-09-10,23,0,2,0,0,2,0,0,0,0,0,"; ; ; ","DNE"
"49",2020-09-11,0,0,0,0,0,1,0,0,0,0,0,NA,"DNE"
"50",2020-09-11,1,0,0,0,0,1,0,0,0,0,0,NA,"DNE"
"51",2020-09-11,2,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"52",2020-09-11,3,0,0,0,0,1,0,0,0,1,0,"; lr","DNE"
"53",2020-09-11,4,0,1,0,0,1,0,0,0,2,0,"; ; lr; chittering mn?","DNE"
"54",2020-09-11,5,0,1,0,0,1,0,0,0,1,0,"; lr; ","DNE"
"55",2020-09-11,6,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"56",2020-09-11,7,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"57",2020-09-11,8,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"58",2020-09-11,9,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"59",2020-09-11,10,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"60",2020-09-11,11,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"61",2020-09-11,12,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"62",2020-09-11,13,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"63",2020-09-11,14,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"64",2020-09-11,15,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"65",2020-09-11,16,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"66",2020-09-11,17,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"67",2020-09-11,18,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"68",2020-09-11,19,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"69",2020-09-11,20,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"70",2020-09-11,21,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"71",2020-09-11,22,0,0,0,NA,NA,NA,NA,NA,0,0,NA,"DNE"
"72",2020-09-11,23,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
"73",2020-09-12,0,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
"74",2020-09-12,1,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
"75",2020-09-12,2,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
"76",2020-09-12,3,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
"77",2020-09-12,4,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
"78",2020-09-12,5,0,1,0,0,1,0,0,0,0,0,NA,"DNE"
