"","Begin_Date","Begin_Hour","bal_uk","dol_E","dol_EC","dol_W","dol_w.x","fish_","fish_c","fish_o","fish_p","fish_p\","fish_pp","fish_social","minke_***","minke_boing","mn_p","mn_s","mn_soc","mn_socia","mn_sociak'","mn_social","mn_song","mn_sonmg","uk_Lfdownsweeps","uk_uk","uk_ukLFp","uk_ukj","dol_w.y","Notes","SiteID"
"1",2019-09-25,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"NGN"
"2",2019-09-25,1,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"NGN"
"3",2019-09-25,2,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"NGN"
"4",2019-09-25,3,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"NGN"
"5",2019-09-25,4,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"NGN"
"6",2019-09-25,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulse; ?? are these part of it? they are two little thumps and are repeated a few times. might be fish even [fish! --JM]; maybe? [yep, these are fish --JM]; ","NGN"
"7",2019-09-25,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,NA,"? might just be high mn [yep, this is a higher harmonic of the mn song unit ~2.3kHz --JM]; ; i think? [yep --JM]; is this part of the mn? [ it is! --JM]; ; ? [no idea!  we can send to Gen and Tim for opinions --JM]","NGN"
"8",2019-09-25,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,NA,"; ; LF pulses; just something hitting the hydrophone? [yep. most likely -- JM]; marking because really loud and easy to hear","NGN"
"9",2019-09-25,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"10",2019-09-25,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"11",2019-09-25,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"; ? [most likely, although very faint --JM]; ; JM -- downsweeps, seem inconsistent w mn song","NGN"
"12",2019-09-25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,"; maybe fish p? [actually mn song, just a really short little woop -- JM]; i think this is all still mn song but it got much higer in frequency so unsure [ yep still mn! --JM]","NGN"
