"Monthly Climate Statistics for 'COFFS HARBOUR MO' [059040]"
"Created on [ 18 Feb 2026 13:57:41 UTC]"

"059040 COFFS HARBOUR MO"
"Commenced: 1943"
"Last Record: 2015"
"Latitude:   30.31 Degrees South"
"Longitude:  153.12 Degrees East"
"Elevation:       5 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1943 to 2015 ",27.0,26.8,26.0,24.1,21.4,19.4,18.8,19.8,22.0,23.7,25.0,26.3,23.4,65,1943,2015
"Highest temperature (°C) for years 1943 to 2015 ",43.3,40.5,35.9,34.2,29.8,28.5,30.3,34.0,35.2,39.6,43.3,42.5,43.3,65,1943,2015
"Date of Highest temperature  °C  for years 1943 to 2015 ",12 Jan  2002,01 Feb  1952,19 Mar  1954,15 Apr  1968,04 May  2007,16 Jun  2002,29 Jul  1958,24 Aug  2009,23 Sep  1981,22 Oct  1988,19 Nov  1968,07 Dec  1981,19 Nov  1968,N/A,1943,2015
"Lowest maximum temperature (°C) for years 1943 to 2015 ",18.7,20.1,18.2,17.5,14.2,12.3,12.6,12.3,15.4,14.5,15.2,17.1,12.3,65,1943,2015
"Date of Lowest maximum temperature  °C  for years 1943 to 2015 ",01 Jan  1958,19 Feb  1952,30 Mar  1970,22 Apr  1985,30 May  2011,27 Jun  1959,01 Jul  1957,06 Aug  1960,24 Sep  1975,07 Oct  1978,10 Nov  1959,01 Dec  1994,06 Aug  1960,N/A,1943,2015
"Decile 1 maximum temperature (°C) for years 1943 to 2015 ",24.3,24.3,23.4,21.4,18.8,16.9,16.6,17.1,18.7,20.2,21.6,23.1, ,65,1943,2015
"Decile 9 maximum temperature (°C) for years 1943 to 2015 ",29.7,29.4,28.6,26.8,24.0,22.2,21.5,23.3,26.1,27.8,28.9,29.9, ,65,1943,2015
"Mean number of days >= 30 °C for years 1943 to 2015 ",2.8,2.0,1.5,0.3,0.0,0.0,0.0,0.0,0.6,1.4,2.2,3.1,13.9,65,1943,2015
"Mean number of days >= 35 °C for years 1943 to 2015 ",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.4,1.2,65,1943,2015
"Mean number of days >= 40 °C for years 1943 to 2015 ",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,65,1943,2015
"Mean minimum temperature (°C) for years 1943 to 2015 ",19.5,19.5,18.1,15.2,11.7,9.1,7.6,8.2,11.0,13.8,16.2,18.1,14.0,64,1943,2015
"Lowest temperature (°C) for years 1943 to 2015 ",11.0,11.6,9.9,4.3,0.4,-0.6,-3.2,-2.7,1.9,3.7,6.5,7.4,-3.2,64,1943,2015
"Date of Lowest temperature  °C  for years 1943 to 2015 ",03 Jan  1953,10 Feb  1996,28 Mar  1966,30 Apr  2008,20 May  1955,04 Jun  1968,17 Jul  1966,13 Aug  1964,13 Sep  1969,05 Oct  1964,04 Nov  1974,11 Dec  1964,17 Jul  1966,N/A,1943,2015
"Highest minimum temperature (°C) for years 1943 to 2015 ",26.7,25.2,24.1,22.6,20.7,17.9,18.7,19.3,20.5,22.1,24.1,24.9,26.7,64,1943,2015
"Date of Highest minimum temperature  °C  for years 1943 to 2015 ",08 Jan  2004,03 Feb  2011,01 Mar  1968,07 Apr  1977,01 May  1973,02 Jun  1993,02 Jul  1981,30 Aug  2009,23 Sep  2003,05 Oct  1988,30 Nov  1997,22 Dec  1985,08 Jan  2004,N/A,1943,2015
"Decile 1 minimum temperature (°C) for years 1943 to 2015 ",16.7,17.1,15.5,11.3,6.7,4.1,2.5,3.4,6.5,9.7,12.5,14.8, ,65,1943,2015
"Decile 9 minimum temperature (°C) for years 1943 to 2015 ",22.2,22.0,20.7,18.5,16.0,13.7,12.7,13.0,15.5,17.6,19.6,21.1, ,65,1943,2015
"Mean number of days <= 2 °C for years 1943 to 2015 ",0.0,0.0,0.0,0.0,0.1,0.7,2.0,1.0,0.0,0.0,0.0,0.0,3.8,64,1943,2015
"Mean number of days <= 0 °C for years 1943 to 2015 ",0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.5,64,1943,2015
"Mean daily ground minimum temperature °C for years 1953 to 2015 ",17.7,17.8,16.3,13.0,9.2,6.4,4.5,5.0,7.8,11.2,13.9,16.2,11.6,61,1953,2015
"Lowest ground temperature °C for years 1952 to 2015 ",7.8,7.8,4.1,0.6,-3.7,-4.3,-6.2,-6.1,-3.0,-1.1,2.1,4.4,-6.2,62,1952,2015
"Date of Lowest ground temperature °C for years 1952 to 2015 ",04 Jan  1966,10 Feb  1996,23 Mar  1991,30 Apr  2008,30 May  2000,14 Jun  1993,29 Jul  2003,13 Aug  1964,14 Sep  1992,08 Oct  1994,02 Nov  2003,06 Dec  2013,29 Jul  2003,N/A,1952,2015
"Mean number of days ground min. temp. <= -1 °C for years 1952 to 2015 ",0.0,0.0,0.0,0.0,0.3,1.2,3.2,1.9,0.2,0.0,0.0,0.0,6.8,62,1952,2015
"Mean rainfall (mm) for years 1943 to 2015 ",187.5,224.8,234.6,178.4,160.8,120.8,72.5,79.5,59.9,96.3,144.7,144.9,1702.4,67,1943,2015
"Highest rainfall (mm) for years 1943 to 2015 ",512.6,632.5,781.9,752.3,647.8,530.3,374.8,380.7,292.6,494.8,557.0,391.4,2882.5,67,1943,2015
"Date of Highest rainfall for years 1943 to 2015 ",1967,1953,1974,1963,1996,1967,1999,1958,1954,1972,2009,2010,1963,N/A,1943,2015
"Lowest rainfall (mm) for years 1943 to 2015 ",11.8,51.0,20.0,14.6,0.0,0.5,0.0,0.2,0.2,7.8,16.0,32.6,1071.0,67,1943,2015
"Date of Lowest rainfall for years 1943 to 2015 ",1994,1978,1965,2006,1957,1953,2002,1991,1980,1988,1952,2013,1968,N/A,1943,2015
"Decile 1 monthly rainfall (mm) for years 1800 to 3000 ",39.6,74.4,75.8,39.0,29.2,15.8,3.2,7.8,8.3,31.5,26.6,45.4, ,68,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",151.2,179.0,205.1,135.9,117.4,90.0,54.3,40.7,35.4,74.7,130.4,114.0, ,68,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",364.0,429.8,421.3,354.2,334.5,269.1,174.6,198.7,137.6,168.1,264.0,262.8, ,68,n/a,n/a
"Highest daily rainfall (mm) for years 1943 to 2015 ",265.7,211.6,256.4,404.6,184.2,127.6,138.4,182.6,160.8,141.8,371.0,229.6,404.6,59,1943,2015
"Date of Highest daily rainfall for years 1943 to 2015 ",30 Jan  1967,07 Feb  2002,11 Mar  1974,28 Apr  1963,20 May  1976,14 Jun  2011,14 Jul  1999,24 Aug  1944,15 Sep  1988,27 Oct  2009,07 Nov  2009,13 Dec  1991,28 Apr  1963,N/A,1943,2015
"Mean number of days of rain for years 1943 to 2015 ",15.0,15.0,16.6,12.5,11.6,10.1,8.0,7.7,8.1,11.1,12.2,13.7,141.6,67,1943,2015
"Mean number of days of rain >= 1 mm for years 1943 to 2015 ",9.4,9.7,10.8,8.5,7.7,6.3,4.5,4.5,4.5,6.7,8.2,8.4,89.2,59,1943,2015
"Mean number of days of rain >= 10 mm for years 1943 to 2015 ",3.8,4.0,4.7,3.7,3.0,2.6,1.6,1.4,1.2,2.1,3.3,3.3,34.7,59,1943,2015
"Mean number of days of rain >= 25 mm for years 1943 to 2015 ",1.7,1.9,2.2,1.7,1.3,1.2,0.7,0.6,0.3,0.8,1.4,1.3,15.1,59,1943,2015
"Mean daily wind run (km) for years 1996 to 2015 ",387,380,352,323,301,295,310,327,348,392,413,384,351,20,1996,2015
"Maximum wind gust speed (km/h) for years 1959 to 2015 ",93,121,98,121,108,89,124,91,87,93,102,91,124,55,1959,2015
"Date of Maximum wind gust speed for years 1959 to 2015 ",23 Jan  1972,26 Feb  1985,01 Mar  2011,07 Apr  1962,20 May  1985,13 Jun  1975,09 Jul  1985,15 Aug  1969,15 Sep  1962,28 Oct  1982,13 Nov  1974,29 Dec  1967,09 Jul  1985,N/A,1959,2015
"Mean daily sunshine (hours) for years 1967 to 2015 ",7.6,7.3,7.1,7.2,6.7,6.6,7.2,8.3,8.5,8.1,7.9,7.9,7.5,47,1967,2015
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026 ",23.3,20.7,17.5,15.2,12.0,10.6,11.6,15.0,18.5,20.7,22.0,23.1,17.5,36,1990,2026
"Mean number of clear days for years 1943 to 2010 ",7.0,5.9,8.3,9.8,10.3,11.2,14.1,15.2,13.9,10.4,8.1,7.9,122.1,62,1943,2010
"Mean number of cloudy days for years 1943 to 2010 ",12.8,12.8,12.2,10.7,10.7,9.7,8.0,6.8,6.5,9.8,11.2,12.0,123.2,62,1943,2010
