"Monthly Climate Statistics for 'PORT MACQUARIE (HILL ST)' [060026]"
"Created on [ 18 Feb 2026 15:06:08 UTC]"

"060026 PORT MACQUARIE (HILL ST)"
"Commenced: 1842"
"Last Record: 2010"
"Latitude:   31.44 Degrees South"
"Longitude:  152.91 Degrees East"
"Elevation:      20 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1907 to 2003 ",25.7,25.9,25.1,23.2,20.7,18.5,17.9,18.8,20.4,21.8,23.3,24.7,22.2,96,1907,2003
"Highest temperature (°C) for years 1910 to 2003 ",41.2,33.5,35.0,33.3,30.1,26.7,28.0,29.4,34.4,38.3,42.3,41.0,42.3,58,1910,2003
"Date of Highest temperature  °C  for years 1910 to 2003 ",06 Jan  1994,20 Feb  1998,13 Mar  1913,08 Apr  1966,02 May  1991,16 Jun  2002,18 Jul  1974,27 Aug  1970,27 Sep  1965,22 Oct  1988,19 Nov  1968,02 Dec  1979,19 Nov  1968,N/A,1910,2003
"Lowest maximum temperature (°C) for years 1910 to 2003 ",18.0,19.4,17.9,16.1,13.9,10.3,10.1,11.5,13.9,14.4,16.7,18.0,10.1,58,1910,2003
"Date of Lowest maximum temperature  °C  for years 1910 to 2003 ",01 Jan  1918,15 Feb  1918,02 Mar  1987,22 Apr  1917,25 May  1916,09 Jun  1913,14 Jul  1920,14 Aug  1976,01 Sep  1912,23 Oct  1918,10 Nov  1993,21 Dec  1975,14 Jul  1920,N/A,1910,2003
"Decile 1 maximum temperature (°C) for years 1910 to 2003 ",23.5,23.9,22.8,20.8,18.2,16.1,15.6,16.7,17.8,19.2,20.6,22.2, ,58,1910,2003
"Decile 9 maximum temperature (°C) for years 1910 to 2003 ",27.8,28.0,27.2,25.7,23.3,21.1,20.5,21.7,23.5,24.5,26.0,27.2, ,58,1910,2003
"Mean number of days >= 30 °C for years 1910 to 2003 ",0.6,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.6,0.7,2.9,58,1910,2003
"Mean number of days >= 35 °C for years 1910 to 2003 ",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.4,58,1910,2003
"Mean number of days >= 40 °C for years 1910 to 2003 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,1910,2003
