Date,Speed of maximum wind gust (km/h),9am wind speed (km/h),3pm wind speed (km/h),Average 9am and 3pm,Rain (mm)
9/1/2019,44,13,30,21.5,0.2
9/2/2019,44,9,11,10,0
9/3/2019,46,20,31,25.5,0
9/4/2019,48,33,20,26.5,0
9/5/2019,46,24,24,24,0
9/6/2019,46,20,11,15.5,0
9/7/2019,35,20,24,22,0
9/8/2019,31,7,17,12,0
9/9/2019,,2,15,8.5,0
9/10/2019,,7,19,13,
9/11/2019,,24,7,15.5,
9/12/2019,46,13,24,18.5,
9/13/2019,28,,19,9.5,0
9/14/2019,28,15,15,15,0
9/15/2019,28,9,17,13,0
9/16/2019,31,9,22,15.5,0.2
9/17/2019,50,15,13,14,0
9/18/2019,46,19,28,23.5,0
9/19/2019,54,33,37,35,0
9/20/2019,52,37,17,27,0
9/21/2019,35,17,28,22.5,0
9/22/2019,35,17,26,21.5,0
9/23/2019,28,15,20,17.5,0
9/24/2019,57,15,30,22.5,0
9/25/2019,30,7,15,11,0
9/26/2019,48,20,26,23,0
9/27/2019,48,24,28,26,0
9/28/2019,41,26,22,24,0
9/29/2019,39,20,28,24,0
9/30/2019,41,24,17,20.5,0
10/1/2019,37,17,24,20.5,0
10/2/2019,35,24,9,16.5,0
10/3/2019,39,20,22,21,0
10/4/2019,57,30,39,34.5,0
10/5/2019,56,35,30,32.5,0
10/6/2019,46,26,31,28.5,0
10/7/2019,39,20,11,15.5,0
10/8/2019,48,24,31,27.5,0
10/9/2019,43,22,22,22,0
10/10/2019,54,24,24,24,0
10/11/2019,57,26,20,23,0
10/12/2019,52,31,33,32,0
10/13/2019,50,26,13,19.5,0
10/14/2019,52,24,35,29.5,0
10/15/2019,48,31,26,28.5,0
10/16/2019,46,22,17,19.5,0
10/17/2019,41,19,17,18,0
10/18/2019,28,9,19,14,0
10/19/2019,31,9,19,14,0
10/20/2019,39,17,17,17,0
10/21/2019,43,17,22,19.5,0
10/22/2019,43,11,11,11,0
10/23/2019,,28,39,33.5,0
10/24/2019,54,30,30,30,
10/25/2019,41,24,15,19.5,0
10/26/2019,,7,13,10,0
10/27/2019,,9,22,15.5,
10/28/2019,50,28,33,30.5,
10/29/2019,,22,33,27.5,0
10/30/2019,43,20,31,25.5,
10/31/2019,57,31,37,34,0
11/1/2019,69,35,28,31.5,0
11/2/2019,57,43,30,36.5,0
11/3/2019,46,26,6,16,0
11/4/2019,46,13,26,19.5,0
11/5/2019,43,13,26,19.5,0
11/6/2019,50,17,24,20.5,0
11/7/2019,33,9,22,15.5,0
11/8/2019,46,9,20,14.5,0
11/9/2019,37,9,11,10,0
11/10/2019,44,20,17,18.5,0
11/11/2019,46,28,31,29.5,0
11/12/2019,39,20,24,22,0
11/13/2019,31,6,15,10.5,0
11/14/2019,43,6,13,9.5,0
11/15/2019,43,15,22,18.5,0
11/16/2019,46,17,26,21.5,0
11/17/2019,54,26,28,27,0
11/18/2019,48,22,26,24,0
11/19/2019,46,26,28,27,0
11/20/2019,52,35,24,29.5,0
11/21/2019,39,17,26,21.5,0
11/22/2019,37,17,15,16,0
11/23/2019,43,13,20,16.5,0
11/24/2019,44,20,24,22,0
11/25/2019,57,17,24,20.5,0
11/26/2019,39,20,20,20,0
11/27/2019,43,11,26,18.5,0
11/28/2019,,15,28,21.5,0
11/29/2019,52,30,35,32.5,
11/30/2019,57,13,39,26,0
12/1/2019,46,11,35,23,0
12/2/2019,41,17,28,22.5,0
12/3/2019,43,15,6,10.5,0
12/4/2019,46,17,28,22.5,0
12/5/2019,56,17,35,26,0
12/6/2019,46,19,13,16,0
12/7/2019,54,20,35,27.5,0
12/8/2019,54,26,31,28.5,0
12/9/2019,48,24,20,22,0
12/10/2019,39,17,24,20.5,0
12/11/2019,44,13,13,13,0
12/12/2019,43,6,30,18,0
12/13/2019,39,15,26,20.5,0
12/14/2019,41,15,19,17,0
12/15/2019,44,17,28,22.5,0
12/16/2019,,11,22,16.5,0
