height_cm,YYYYMMDD,hhmm/
219,20190901,0000/
215,20190901,0100/
190,20190901,0200/
147,20190901,0300/
97,20190901,0400/
61,20190901,0500/
47,20190901,0600/
58,20190901,0700/
89,20190901,0800/
135,20190901,0900/
185,20190901,1000/
224,20190901,1100/
243,20190901,1200/
240,20190901,1300/
212,20190901,1400/
164,20190901,1500/
107,20190901,1600/
56,20190901,1700/
25,20190901,1800/
23,20190901,1900/
43,20190901,2000/
84,20190901,2100/
138,20190901,2200/
188,20190901,2300/
223,20190902,0000/
233,20190902,0100/
218,20190902,0200/
183,20190902,0300/
129,20190902,0400/
77,20190902,0500/
42,20190902,0600/
34,20190902,0700/
54,20190902,0800/
93,20190902,0900/
143,20190902,1000/
195,20190902,1100/
229,20190902,1200/
243,20190902,1300/
232,20190902,1400/
200,20190902,1500/
147,20190902,1600/
91,20190902,1700/
49,20190902,1800/
32,20190902,1900/
38,20190902,2000/
71,20190902,2100/
117,20190902,2200/
169,20190902,2300/
213,20190903,0000/
238,20190903,0100/
237,20190903,0200/
212,20190903,0300/
167,20190903,0400/
110,20190903,0500/
62,20190903,0600/
35,20190903,0700/
34,20190903,0800/
55,20190903,0900/
96,20190903,1000/
147,20190903,1100/
194,20190903,1200/
224,20190903,1300/
231,20190903,1400/
217,20190903,1500/
178,20190903,1600/
124,20190903,1700/
74,20190903,1800/
42,20190903,1900/
34,20190903,2000/
49,20190903,2100/
88,20190903,2200/
139,20190903,2300/
189,20190904,0000/
223,20190904,0100/
236,20190904,0200/
225,20190904,0300/
191,20190904,0400/
141,20190904,0500/
88,20190904,0600/
48,20190904,0700/
30,20190904,0800/
35,20190904,0900/
61,20190904,1000/
104,20190904,1100/
151,20190904,1200/
190,20190904,1300/
211,20190904,1400/
211,20190904,1500/
192,20190904,1600/
151,20190904,1700/
103,20190904,1800/
65,20190904,1900/
44,20190904,2000/
48,20190904,2100/
73,20190904,2200/
116,20190904,2300/
163,20190905,0000/
202,20190905,0100/
225,20190905,0200/
227,20190905,0300/
211,20190905,0400/
174,20190905,0500/
123,20190905,0600/
75,20190905,0700/
46,20190905,0800/
36,20190905,0900/
46,20190905,1000/
77,20190905,1100/
117,20190905,1200/
157,20190905,1300/
185,20190905,1400/
197,20190905,1500/
190,20190905,1600/
165,20190905,1700/
130,20190905,1800/
93,20190905,1900/
69,20190905,2000/
63,20190905,2100/
79,20190905,2200/
109,20190905,2300/
146,20190906,0000/
182,20190906,0100/
210,20190906,0200/
222,20190906,0300/
215,20190906,0400/
191,20190906,0500/
155,20190906,0600/
112,20190906,0700/
80,20190906,0800/
62,20190906,0900/
61,20190906,1000/
75,20190906,1100/
100,20190906,1200/
130,20190906,1300/
157,20190906,1400/
172,20190906,1500/
175,20190906,1600/
166,20190906,1700/
144,20190906,1800/
114,20190906,1900/
93,20190906,2000/
83,20190906,2100/
89,20190906,2200/
107,20190906,2300/
134,20190907,0000/
165,20190907,0100/
192,20190907,0200/
208,20190907,0300/
211,20190907,0400/
200,20190907,0500/
176,20190907,0600/
143,20190907,0700/
113,20190907,0800/
90,20190907,0900/
78,20190907,1000/
78,20190907,1100/
89,20190907,1200/
108,20190907,1300/
130,20190907,1400/
147,20190907,1500/
157,20190907,1600/
157,20190907,1700/
148,20190907,1800/
133,20190907,1900/
116,20190907,2000/
106,20190907,2100/
104,20190907,2200/
113,20190907,2300/
128,20190908,0000/
148,20190908,0100/
169,20190908,0200/
185,20190908,0300/
192,20190908,0400/
191,20190908,0500/
180,20190908,0600/
162,20190908,0700/
141,20190908,0800/
122,20190908,0900/
104,20190908,1000/
92,20190908,1100/
90,20190908,1200/
96,20190908,1300/
106,20190908,1400/
119,20190908,1500/
131,20190908,1600/
139,20190908,1700/
144,20190908,1800/
144,20190908,1900/
137,20190908,2000/
131,20190908,2100/
125,20190908,2200/
124,20190908,2300/
129,20190909,0000/
136,20190909,0100/
147,20190909,0200/
160,20190909,0300/
170,20190909,0400/
176,20190909,0500/
178,20190909,0600/
174,20190909,0700/
163,20190909,0800/
149,20190909,0900/
134,20190909,1000/
117,20190909,1100/
103,20190909,1200/
94,20190909,1300/
91,20190909,1400/
95,20190909,1500/
102,20190909,1600/
115,20190909,1700/
128,20190909,1800/
141,20190909,1900/
146,20190909,2000/
146,20190909,2100/
142,20190909,2200/
137,20190909,2300/
130,20190910,0000/
124,20190910,0100/
125,20190910,0200/
132,20190910,0300/
141,20190910,0400/
152,20190910,0500/
163,20190910,0600/
171,20190910,0700/
173,20190910,0800/
170,20190910,0900/
160,20190910,1000/
142,20190910,1100/
124,20190910,1200/
104,20190910,1300/
89,20190910,1400/
82,20190910,1500/
82,20190910,1600/
93,20190910,1700/
109,20190910,1800/
127,20190910,1900/
147,20190910,2000/
155,20190910,2100/
157,20190910,2200/
154,20190910,2300/
144,20190911,0000/
129,20190911,0100/
117,20190911,0200/
110,20190911,0300/
113,20190911,0400/
122,20190911,0500/
135,20190911,0600/
152,20190911,0700/
170,20190911,0800/
178,20190911,0900/
178,20190911,1000/
166,20190911,1100/
146,20190911,1200/
121,20190911,1300/
94,20190911,1400/
76,20190911,1500/
68,20190911,1600/
74,20190911,1700/
88,20190911,1800/
112,20190911,1900/
139,20190911,2000/
161,20190911,2100/
173,20190911,2200/
174,20190911,2300/
164,20190912,0000/
148,20190912,0100/
127,20190912,0200/
106,20190912,0300/
98,20190912,0400/
104,20190912,0500/
119,20190912,0600/
143,20190912,0700/
167,20190912,0800/
189,20190912,0900/
199,20190912,1000/
196,20190912,1100/
179,20190912,1200/
150,20190912,1300/
115,20190912,1400/
85,20190912,1500/
66,20190912,1600/
64,20190912,1700/
75,20190912,1800/
100,20190912,1900/
131,20190912,2000/
162,20190912,2100/
185,20190912,2200/
192,20190912,2300/
189,20190913,0000/
170,20190913,0100/
143,20190913,0200/
114,20190913,0300/
92,20190913,0400/
87,20190913,0500/
99,20190913,0600/
120,20190913,0700/
153,20190913,0800/
185,20190913,0900/
208,20190913,1000/
216,20190913,1100/
204,20190913,1200/
179,20190913,1300/
142,20190913,1400/
101,20190913,1500/
71,20190913,1600/
56,20190913,1700/
