UTC,height_m,water_temp_C,wind_m_sec,tide_station,wind_km_h,Dep,month_UTC,month_name,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
2020-01-01T00:00:00Z,2.29,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T01:00:00Z,2.859,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T02:00:00Z,4.027,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T03:00:00Z,5.359,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T04:00:00Z,6.611,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T05:00:00Z,7.594,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T06:00:00Z,8.129,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T07:00:00Z,7.834,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T08:00:00Z,6.909,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T09:00:00Z,5.866,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T10:00:00Z,4.762,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T11:00:00Z,3.74,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T12:00:00Z,3.193,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T13:00:00Z,3.473,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T14:00:00Z,4.409,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T15:00:00Z,5.543,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T16:00:00Z,6.639,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T17:00:00Z,7.525,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T18:00:00Z,7.929,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T19:00:00Z,7.63,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T20:00:00Z,6.802,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T21:00:00Z,5.77,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T22:00:00Z,4.715,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-01T23:00:00Z,3.761,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T00:00:00Z,3.11,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T01:00:00Z,3.1,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T02:00:00Z,3.798,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T03:00:00Z,4.776,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T04:00:00Z,5.829,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T05:00:00Z,6.833,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T06:00:00Z,7.523,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T07:00:00Z,7.72,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T08:00:00Z,7.243,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T09:00:00Z,6.368,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T10:00:00Z,5.419,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T11:00:00Z,4.484,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T12:00:00Z,3.835,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T13:00:00Z,3.7,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T14:00:00Z,4.129,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T15:00:00Z,4.92,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
2020-01-02T16:00:00Z,5.843,-9999,-9999,Broome,-35996.4,DAMPIER_202009_DNE,1,January,50.6,19.4,28.2
