UTC,height_m,water_temp_C,wind_m_sec,tide_station,wind_km_h,Dep,month_UTC,month_name,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
2022-01-01T00:00:00Z,0.528,24.3,2,Hillarys,7.2,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T01:00:00Z,0.65,24.2,2.6,Hillarys,9.360000000000001,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T02:00:00Z,0.717,24.2,3,Hillarys,10.8,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T03:00:00Z,0.754,24.2,2.2,Hillarys,7.920000000000001,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T04:00:00Z,0.789,24.2,4.4,Hillarys,15.840000000000002,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T05:00:00Z,0.853,24.3,5.2,Hillarys,18.720000000000002,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T06:00:00Z,0.897,24.3,5.2,Hillarys,18.720000000000002,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T07:00:00Z,0.97,24.4,5,Hillarys,18,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T08:00:00Z,1.08,24.4,5.6,Hillarys,20.16,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T09:00:00Z,1.146,24.5,4.8,Hillarys,17.28,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T10:00:00Z,1.245,24.5,4.9,Hillarys,17.64,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T11:00:00Z,1.295,24.4,5.4,Hillarys,19.44,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T12:00:00Z,1.307,24.4,3.3,Hillarys,11.879999999999999,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T13:00:00Z,1.319,24.4,2.8,Hillarys,10.08,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T14:00:00Z,1.193,24.4,2.2,Hillarys,7.920000000000001,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T15:00:00Z,1.105,24.3,2.6,Hillarys,9.360000000000001,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T16:00:00Z,0.963,24.3,2.3,Hillarys,8.28,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T17:00:00Z,0.781,24.3,1.5,Hillarys,5.4,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T18:00:00Z,0.661,24.2,3.2,Hillarys,11.520000000000001,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T19:00:00Z,0.512,24.1,5,Hillarys,18,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T20:00:00Z,0.387,24,5.5,Hillarys,19.8,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T21:00:00Z,0.389,23.9,6.1,Hillarys,21.96,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T22:00:00Z,0.335,23.9,6,Hillarys,21.6,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-01T23:00:00Z,0.367,23.8,5,Hillarys,18,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-02T00:00:00Z,0.45,23.8,1.9,Hillarys,6.84,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-02T01:00:00Z,0.52,23.8,2,Hillarys,7.2,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-02T02:00:00Z,0.653,23.8,1.5,Hillarys,5.4,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-02T03:00:00Z,0.702,23.8,2.1,Hillarys,7.5600000000000005,SWC_202201_SWS,1,January,10.6,27.2,32.8
2022-01-02T04:00:00Z,0.763,23.8,4.8,Hillarys,17.28,SWC_202201_SWS,1,January,10.6,27.2,32.8
