"","Begin_Date","Begin_Hour","bal_uk","dol_bp","dol_ec","dol_uk","dolphin_uk","fish_","fish_c","fish_p","fish_uk","pm_frg","uk_","uk_1","uk_uk","dol_w","Notes","SiteID"
"1",2020-02-08,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"2",2020-02-08,1,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"3",2020-02-08,2,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"4",2020-02-08,3,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"5",2020-02-08,4,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"6",2020-02-08,5,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"7",2020-02-08,6,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"8",2020-02-08,7,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"9",2020-02-08,8,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"10",2020-02-08,9,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"11",2020-02-08,10,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"12",2020-02-08,11,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"13",2020-02-08,12,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"14",2020-02-08,13,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"15",2020-02-08,14,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"16",2020-02-08,15,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"17",2020-02-08,16,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"18",2020-02-08,17,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"19",2020-02-08,18,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"20",2020-02-08,19,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"21",2020-02-08,20,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"22",2020-02-08,21,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"23",2020-02-08,22,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"24",2020-02-08,23,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"25",2020-02-09,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,"MRE"
"26",2020-02-09,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,"fish: wood pecker sound or frogy; fish: tapping; fish: thumping sound; ask jess; [JM] not sure","MRE"
"27",2020-02-09,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,"tapping fish; frog fish; ask jess; maybe wind/waves; ask jess (pumping); [JM] made clip and can ask Gen","MRE"
"28",2020-02-09,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,"frog fish; tapping fish; ask jess; sounds motorcycle; [JM] leave as uk but MAYBE humpback?","MRE"
"29",2020-02-09,4,1,0,0,0,0,0,0,2,0,0,0,0,1,0,"tapping fish; frog fish; double check with jess; maybe fin whale? same as in 02:00 hour; [JM added] possible baleen whale","MRE"
"30",2020-02-09,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,"fish tapping; frog fish; double check","MRE"
"31",2020-02-09,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,"frog fish; tapping fish; ask jess; [JM] fairly certain these are fish sounds; wooping fish; thumping fish","MRE"
"32",2020-02-09,7,0,0,0,0,0,0,1,4,0,0,0,0,0,0,"tapping fish; frog fish; wooping fish; [JM added]; thumping fish","MRE"
"33",2020-02-09,8,0,0,0,0,0,0,0,3,1,0,0,0,0,0,"frog fish; wooping fish; wooping fish; probably fish","MRE"
"34",2020-02-09,9,0,0,0,0,0,0,0,6,0,0,0,0,3,0,"wooping fish; double check; frog fish; ask jess; [JM] fish!; ask jess; ; probably fish; tapping fish; tweet; [JM added] possible baleen whale","MRE"
"35",2020-02-09,10,2,0,0,0,0,0,0,4,0,0,0,0,0,0,"double check; frog fish; tapping fish; double check; thumping fish; ask jess","MRE"
"36",2020-02-09,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"frog fish; wooping fish","MRE"
"37",2020-02-09,12,0,0,0,0,0,0,0,2,0,0,0,0,2,0,"frog fish; ask jess; [JM] uk; [JM added] possible whale? fish?; thumping fish","MRE"
"38",2020-02-09,13,1,0,0,0,0,0,0,6,0,0,0,0,1,0,"thumping fish; ; frog fish; ; ; ask jess; [JM] fish; [JM] these look the same as the possible baleen whales from earlier; pygmy or bryde?; [JM] uk seems too high for pygmy right whale or pygmy blue whale","MRE"
"39",2020-02-09,14,2,0,0,0,0,0,0,5,0,0,0,0,1,0,"; double check; frog; tapping; ; seen before; ; ","MRE"
"40",2020-02-09,15,1,0,0,0,0,0,0,6,0,0,0,0,1,0,"; ; frog; ; ; ; double check; ","MRE"
"41",2020-02-09,16,3,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; double check; ; ; ","MRE"
"42",2020-02-09,17,3,0,0,0,0,0,0,2,0,0,0,0,0,0,"; frog; double check; ; ","MRE"
"43",2020-02-09,18,2,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; double check; ; faint; ","MRE"
"44",2020-02-09,19,1,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; DC; nice example","MRE"
"45",2020-02-09,20,1,0,0,0,0,0,0,3,0,0,0,0,0,0,"frog; ; ; faint","MRE"
"46",2020-02-09,21,0,0,0,0,0,0,1,2,0,0,0,0,1,0,"ask jess; ; ; ","MRE"
"47",2020-02-09,22,0,0,0,0,0,0,1,3,0,0,0,0,0,0,"great example of a chorus [JM]; ; ; ","MRE"
"48",2020-02-09,23,1,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ; double check","MRE"
"49",2020-02-10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"50",2020-02-10,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,"; ; ; ; ; ; ; ","MRE"
"51",2020-02-10,2,0,0,0,0,0,0,1,4,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"52",2020-02-10,3,1,0,0,0,0,0,1,2,0,0,0,0,1,0,"; ; double check; ; ","MRE"
"53",2020-02-10,4,1,0,0,0,0,0,1,6,0,0,0,0,0,0,"; ; ; ; ; ; ; make clip for Gen","MRE"
