"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
7 "Spectrogram 1" 1 1458.437158318 1461.278687386 78.729 284.301 "2020/9/9" "12:08:32.4372" "12:08:35.2787" 2.8415 "uk" "uk" "low clicks mn?"
10 "Spectrogram 1" 1 4612.896166913 4616.338788669 56.86 240.562 "2020/9/9" "13:01:06.8962" "13:01:10.3388" 3.4426 "fish" "uk" "low clicks mn?"
12 "Spectrogram 1" 1 8302.765013168 8307.136596349 118.094 415.516 "2020/9/9" "14:02:36.7650" "14:02:41.1366" 4.3716 "fish" "uk" "low clicks mn?"
14 "Spectrogram 1" 1 11856.382503112 11860.808731083 74.356 402.395 "2020/9/9" "15:01:50.3825" "15:01:54.8087" 4.4262 "fish" "uk" "low clicks mn?"
18 "Spectrogram 1" 1 15368.513649913 15372.229495617 65.608 349.909 "2020/9/9" "16:00:22.5136" "16:00:26.2295" 3.7158 "fish" "uk" "low clicks mn?"
22 "Spectrogram 1" 1 18966.404367278 18969.355185925 78.729 314.918 "2020/9/9" "17:00:20.4044" "17:00:23.3552" 2.9508 "fish" "uk" "low clicks mn?"
2 "Spectrogram 1" 1 63.45354863 65.639340221 236.188 489.872 "2020/9/9" "11:45:17.4535" "11:45:19.6393" 2.1858 "mn" "song" ""
5 "Spectrogram 1" 1 1084.918031079 1096.885240039 586.097 901.014 "2020/9/9" "12:02:18.9180" "12:02:30.8852" 11.9672 "mn" "song" ""
9 "Spectrogram 1" 1 4606.174857772 4617.103815726 288.675 931.631 "2020/9/9" "13:01:00.1749" "13:01:11.1038" 10.929 "mn" "song" ""
11 "Spectrogram 1" 1 8220.513656857 8228.109282635 507.367 1010.361 "2020/9/9" "14:01:14.5137" "14:01:22.1093" 7.5956 "mn" "song" ""
13 "Spectrogram 1" 1 11785.333328704 11795.005456493 621.088 1662.065 "2020/9/9" "15:00:39.3333" "15:00:49.0055" 9.6721 "mn" "song" ""
17 "Spectrogram 1" 1 15360.754089765 15368.076491595 498.62 953.501 "2020/9/9" "16:00:14.7541" "16:00:22.0765" 7.3224 "mn" "song" ""
21 "Spectrogram 1" 1 18975.42075759 18986.732229072 240.562 726.06 "2020/9/9" "17:00:29.4208" "17:00:40.7322" 11.3115 "mn" "song" ""
1 "Spectrogram 1" 1 8.797811153 17.377043147 183.702 642.957 "2020/9/9" "11:44:22.7978" "11:44:31.3770" 8.5792 "uk" "uk" "mechanical?, fish?"
3 "Spectrogram 1" 1 74.437151374 91.9234841 61.234 275.553 "2020/9/9" "11:45:28.4372" "11:45:45.9235" 17.4863 "uk" "uk" "boat motor"
4 "Spectrogram 1" 1 1081.748633273 1089.071035102 1250.923 1408.382 "2020/9/9" "12:02:15.7486" "12:02:23.0710" 7.3224 "uk" "uk" "rusty metal"
8 "Spectrogram 1" 1 2217.114753017 2237.497259601 131.216 441.759 "2020/9/9" "12:21:11.1148" "12:21:31.4973" 20.3825 "uk" "uk" "boat motor"
15 "Spectrogram 1" 1 13339.256830165 13352.808738027 1242.175 2011.974 "2020/9/9" "15:26:33.2568" "15:26:46.8087" 13.5519 "uk" "uk" "metal tapping"
16 "Spectrogram 1" 1 14378.644803658 14394.273213532 1565.841 2086.329 "2020/9/9" "15:43:52.6448" "15:44:08.2732" 15.6284 "uk" "uk" "scraping/tapping"
19 "Spectrogram 1" 1 15820.404353389 15827.016372951 100.599 376.152 "2020/9/9" "16:07:54.4044" "16:08:01.0164" 6.612 "uk" "uk" "machine whirring"
20 "Spectrogram 1" 1 16069.420754117 16083.464465088 1049.726 1793.281 "2020/9/9" "16:12:03.4208" "16:12:17.4645" 14.0437 "uk" "uk" "metal tapping"
23 "Spectrogram 1" 1 19270.557360883 19272.360638946 949.127 1268.418 "2020/9/9" "17:05:24.5574" "17:05:26.3606" 1.8033 "fish" "p" ""
16 "Spectrogram 1" 1 12691.584698903 12709.945348266 721.686 966.622 "2020/9/9" "21:15:44.5847" "21:16:02.9453" 18.3606 "fish" "c" ""
18 "Spectrogram 1" 1 15410.109282635 15426.666653935 752.303 1049.726 "2020/9/9" "22:01:03.1093" "22:01:19.6667" 16.5574 "fish" "c" ""
5 "Spectrogram 1" 1 1056.81966143 1061.40982377 844.154 1320.905 "2020/9/9" "18:01:49.8197" "18:01:54.4098" 4.5902 "fish" "p" ""
8 "Spectrogram 1" 1 4602.185788119 4606.61201609 769.799 1281.54 "2020/9/9" "19:00:55.1858" "19:00:59.6120" 4.4262 "fish" "p" ""
12 "Spectrogram 1" 1 8311.945337849 8314.568287758 800.416 1141.577 "2020/9/9" "20:02:44.9453" "20:02:47.5683" 2.6229 "fish" "p" ""
1 "Spectrogram 1" 1 0.928961426 12.786880806 511.741 866.024 "2020/9/9" "17:44:13.9290" "17:44:25.7869" 11.8579 "mn" "song" ""
3 "Spectrogram 1" 1 998.666657407 1011.398893424 288.675 699.817 "2020/9/9" "18:00:51.6667" "18:01:04.3989" 12.7322 "mn" "song" ""
7 "Spectrogram 1" 1 4592.240436381 4602.841525596 271.179 634.209 "2020/9/9" "19:00:45.2404" "19:00:55.8415" 10.6011 "mn" "song" ""
10 "Spectrogram 1" 1 8208.983606216 8219.967208959 349.909 572.975 "2020/9/9" "20:01:01.9836" "20:01:12.9672" 10.9836 "mn" "song" ""
14 "Spectrogram 1" 1 11764.065557776 11776.907083371 61.234 564.227 "2020/9/9" "21:00:17.0656" "21:00:29.9071" 12.8415 "mn" "song" ""
17 "Spectrogram 1" 1 15398.743166363 15409.617479527 271.179 813.537 "2020/9/9" "22:00:51.7432" "22:01:02.6175" 10.8743 "mn" "song" ""
19 "Spectrogram 1" 1 19010.45901554 19026.142070203 507.367 892.267 "2020/9/9" "23:01:03.4590" "23:01:19.1421" 15.6831 "mn" "song" ""
2 "Spectrogram 1" 1 15.357792833 19.211002504 58.744 358.993 "2020/9/9" "17:44:28.3578" "17:44:32.2110" 3.8532 "uk" "uk" "low rattling"
4 "Spectrogram 1" 1 992.491796163 995.879773129 135.59 275.553 "2020/9/9" "18:00:45.4918" "18:00:48.8798" 3.388 "uk" "uk" "low rattling"
6 "Spectrogram 1" 1 3242.29508117 3252.349722488 1561.467 1933.245 "2020/9/9" "18:38:15.2951" "18:38:25.3497" 10.0546 "uk" "uk" "metal clanging"
9 "Spectrogram 1" 1 4610.218572215 4613.934417919 61.234 332.413 "2020/9/9" "19:01:03.2186" "19:01:06.9344" 3.7158 "uk" "uk" "lr"
11 "Spectrogram 1" 1 8226.85245247 8232.426221027 122.468 275.553 "2020/9/9" "20:01:19.8525" "20:01:25.4262" 5.5738 "uk" "uk" "lr"
13 "Spectrogram 1" 1 9540.885233094 9549.737689037 1014.735 1495.859 "2020/9/9" "20:23:13.8852" "20:23:22.7377" 8.8525 "uk" "uk" "squeak prob mn"
15 "Spectrogram 1" 1 12550.786877334 12560.404360333 1338.4 1990.105 "2020/9/9" "21:13:23.7869" "21:13:33.4044" 9.6175 "uk" "uk" "chirp prob mn"
20 "Spectrogram 1" 1 20907.945351738 20916.196714993 1102.212 1395.26 "2020/9/9" "23:32:40.9454" "23:32:49.1967" 8.2514 "uk" "uk" "creak"
9 "Spectrogram 1" 1 15404.808738027 15407.759556675 96.225 279.927 "2020/9/10" "4:00:51.8087" "4:00:54.7596" 2.9508 "uk" "lr" ""
1 "Spectrogram 1" 1 977.683058136 990.743162891 253.684 848.528 "2020/9/10" "0:00:24.6831" "0:00:37.7432" 13.0601 "mn" "song" ""
3 "Spectrogram 1" 1 4566.928951009 4576.27321006 297.422 835.407 "2020/9/10" "1:00:13.9290" "1:00:23.2732" 9.3443 "mn" "song" ""
5 "Spectrogram 1" 1 8217.672127789 8231.825128339 74.356 695.443 "2020/9/10" "2:01:04.6721" "2:01:18.8251" 14.153 "mn" "song" ""
