"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
1 "Spectrogram 1" 1 545.80860873 546.75054528 596.873 838.849 "2019/9/25" "5:01:26.8086" "5:01:27.7505" 0.9419 "mn" "song" ""
2 "Spectrogram 1" 1 1449.311233043 1449.588753761 0 935.639 "2019/9/25" "5:16:30.3112" "5:16:30.5888" 0.2775 "uk" "uk" "LF pulse"
3 "Spectrogram 1" 1 3584.351033283 3584.892198683 0 504.701 "2019/9/25" "5:52:05.3510" "5:52:05.8922" 0.5412 "fish" "p" "?? are these part of it? they are two little thumps and are repeated a few times. might be fish even [fish! --JM]"
4 "Spectrogram 1" 1 3713.548634974 3714.436701271 31.544 993.63 "2019/9/25" "5:54:14.5486" "5:54:15.4367" 0.8881 "fish" "p" "maybe? [yep, these are fish --JM]"
5 "Spectrogram 1" 1 3749.071067665 3749.404092526 3302.023 3768.247 "2019/9/25" "5:54:50.0711" "5:54:50.4041" 0.333 "dol" "W" ""
6 "Spectrogram 1" 1 4059.65041811 4060.05282315 5049.805 5578.192 "2019/9/25" "6:00:00.6504" "6:00:01.0528" 0.4024 "mn" "song" "? might just be high mn [yep, this is a higher harmonic of the mn song unit ~2.3kHz --JM]"
7 "Spectrogram 1" 1 4062.828030327 4063.563460229 155.408 559.469 "2019/9/25" "6:00:03.8280" "6:00:04.5635" 0.7354 "mn" "song" ""
8 "Spectrogram 1" 1 4188.586235276 4189.724070219 0 575.01 "2019/9/25" "6:02:09.5862" "6:02:10.7241" 1.1378 "fish" "p" "i think? [yep --JM]"
10 "Spectrogram 1" 1 4419.192125624 4419.802671203 608.211 2774.034 "2019/9/25" "6:06:00.1921" "6:06:00.8027" 0.6105 "mn" "song" "is this part of the mn? [ it is! --JM]"
11 "Spectrogram 1" 1 5390.15713479 5390.642796045 21.869 459.255 "2019/9/25" "6:22:11.1571" "6:22:11.6428" 0.4857 "fish" "p" ""
12 "Spectrogram 1" 1 5936.643487883 5937.53155418 31.544 820.139 "2019/9/25" "6:31:17.6435" "6:31:18.5316" 0.8881 "uk" "uk" "? [no idea!  we can send to Gen and Tim for opinions --JM]"
15 "Spectrogram 1" 1 7660.280569876 7660.613594737 50.11 576.264 "2019/9/25" "7:00:01.2806" "7:00:01.6136" 0.333 "fish" "p" ""
