UTC,height_m,water_temp_C,wind_m_sec,tide_station,wind_km_h,Dep,month_UTC,month_name,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
2020-01-01T00:00:00Z,0.624,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T01:00:00Z,0.604,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T02:00:00Z,0.667,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T03:00:00Z,0.738,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T04:00:00Z,0.711,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T05:00:00Z,0.796,21.3,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T06:00:00Z,0.795,21.3,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T07:00:00Z,0.742,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T08:00:00Z,0.76,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T09:00:00Z,0.775,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T10:00:00Z,0.782,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T11:00:00Z,0.789,21.7,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T12:00:00Z,0.869,21.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T13:00:00Z,0.92,21.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T14:00:00Z,0.934,21.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T15:00:00Z,1.044,21.8,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T16:00:00Z,1.101,21.8,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T17:00:00Z,1.088,21.7,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T18:00:00Z,1.095,21.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T19:00:00Z,1.047,21.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T20:00:00Z,0.947,21.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T21:00:00Z,0.887,21.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T22:00:00Z,0.823,21.5,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-01T23:00:00Z,0.744,21.5,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T00:00:00Z,0.718,-9999,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T01:00:00Z,0.741,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T02:00:00Z,0.738,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T03:00:00Z,0.763,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T04:00:00Z,0.791,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T05:00:00Z,0.821,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T06:00:00Z,0.84,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T07:00:00Z,0.822,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T08:00:00Z,0.833,21.2,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T09:00:00Z,0.872,-9999,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T10:00:00Z,0.864,21.2,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T11:00:00Z,0.893,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T12:00:00Z,0.933,-9999,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T13:00:00Z,0.947,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T14:00:00Z,0.974,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T15:00:00Z,1.009,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T16:00:00Z,1.034,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T17:00:00Z,1.056,-9999,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T18:00:00Z,1.052,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T19:00:00Z,0.966,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T20:00:00Z,0.931,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T21:00:00Z,0.87,-9999,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T22:00:00Z,0.792,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-02T23:00:00Z,0.71,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T00:00:00Z,0.692,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T01:00:00Z,0.695,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T02:00:00Z,0.683,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T03:00:00Z,0.691,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T04:00:00Z,0.738,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T05:00:00Z,0.733,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T06:00:00Z,0.787,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T07:00:00Z,0.765,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T08:00:00Z,0.792,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T09:00:00Z,0.819,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T10:00:00Z,0.84,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T11:00:00Z,0.849,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T12:00:00Z,0.869,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T13:00:00Z,0.857,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T14:00:00Z,0.858,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T15:00:00Z,0.845,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T16:00:00Z,0.847,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T17:00:00Z,0.846,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T18:00:00Z,0.862,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T19:00:00Z,0.785,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T20:00:00Z,0.775,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T21:00:00Z,0.712,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T22:00:00Z,0.656,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-03T23:00:00Z,0.641,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T00:00:00Z,0.601,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T01:00:00Z,0.57,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T02:00:00Z,0.637,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T03:00:00Z,0.551,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T04:00:00Z,0.591,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T05:00:00Z,0.641,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T06:00:00Z,0.637,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T07:00:00Z,0.634,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T08:00:00Z,0.702,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T09:00:00Z,0.736,21.2,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T10:00:00Z,0.762,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T11:00:00Z,0.787,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T12:00:00Z,0.814,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T13:00:00Z,0.768,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T14:00:00Z,0.799,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T15:00:00Z,0.682,21,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T16:00:00Z,0.668,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T17:00:00Z,0.641,20.8,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T18:00:00Z,0.586,20.7,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T19:00:00Z,0.567,20.7,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T20:00:00Z,0.545,20.7,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T21:00:00Z,0.489,20.7,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T22:00:00Z,0.498,20.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-04T23:00:00Z,0.457,20.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T00:00:00Z,0.466,20.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T01:00:00Z,0.487,20.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T02:00:00Z,0.534,20.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T03:00:00Z,0.525,20.8,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T04:00:00Z,0.552,20.9,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T05:00:00Z,0.584,21.1,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T06:00:00Z,0.616,21.3,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T07:00:00Z,0.646,21.4,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T08:00:00Z,0.736,21.5,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T09:00:00Z,0.776,21.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
2020-01-05T10:00:00Z,0.865,21.6,-9999,Esperance,-35996.4,MURAT_202002_MRE,1,January,12.9,18.0,27.1
