"","Begin_Date","Begin_Hour","bal_pbw","bal_uk","boat_","dol_echolocation","dol_uk","fish_Pulse","fish_c","fish_p","fish_spikeylowfrequencyp","fish_uk","minke_boing","mn_uk","pm_","pm_clicks","pm_uk","uk_","uk_fish","uk_uk","dol_w","Notes","SiteID"
"1",2022-01-18,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,NA,"SWS"
"2",2022-01-18,1,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,NA,"SWS"
"3",2022-01-18,2,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,NA,"SWS"
"4",2022-01-18,3,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,NA,"SWS"
"5",2022-01-18,4,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,NA,"SWS"
"6",2022-01-18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"unsure what is going on here, but this is a l-f bump; is this the beginning of vessel noise? [JM-- yep!]; louder l-f bump","SWS"
"7",2022-01-18,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"What could be causing these fluctuations? [JM-- could be a change in gear or speed or maneuvering or turning]; ; These might be fish grunts, but they are very l-f so not sure","SWS"
"8",2022-01-18,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,"These look like really faint fish pulses but I want to double check [JM-- I agree!]; hydrophone interference? [JM-- yes sounds like something bumping against hydrophone]; Possible fish pulse but want to double check [JM--agreed I think these are fish; updated annotation]; Possible fish grunt; possible fish noise","SWS"
"9",2022-01-18,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,"; ; Minke???? [JM-- this looks the same as your other UK low-frequency pulses. leave as uk for now]; More Minke??? [JM--same comment as above]","SWS"
"10",2022-01-18,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,1,"double check [JM-- yep these are fish!]; confident about this one; double check [JM-- sounds more like a right whale or humpback if anything; changed annotation to uk]; possible fish pulses; possible fish pulses; possible fish chorusing [JM-- agreed these are fish but not quite a chorus; updated annotation]","SWS"
