"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
1 "Spectrogram 1" 1 130.615050536 132.10779397 0 74.786 "2022/1/18" "5:27:51.6151" "5:27:53.1078" 1.4927 "UK" "UK" "unsure what is going on here, but this is a l-f bump"
2 "Spectrogram 1" 1 233.900475438 241.364192611 2.671 264.423 "2022/1/18" "5:29:34.9005" "5:29:42.3642" 7.4637 "UK" "UK" "is this the beginning of vessel noise? [JM-- yep!]"
3 "Spectrogram 1" 1 335.693156905 336.937109767 0 430.021 "2022/1/18" "5:31:16.6932" "5:31:17.9371" 1.244 "UK" "UK" "louder l-f bump"
4 "Spectrogram 1" 1 3691.50516838 3722.355199364 162.927 221.688 "2022/1/18" "6:27:12.5052" "6:27:43.3552" 30.85 "boat" "" "What could be causing these fluctuations? [JM-- could be a change in gear or speed or maneuvering or turning]"
5 "Spectrogram 1" 1 4240.98410169 4242.352449839 90.812 301.816 "2022/1/18" "6:36:21.9841" "6:36:23.3524" 1.3683 "UK" "UK" ""
6 "Spectrogram 1" 1 5226.045606744 5230.275046475 14.66 58.761 "2022/1/18" "6:52:47.0456" "6:52:51.2750" 4.2294 "UK" "UK" "These might be fish grunts, but they are very l-f so not sure"
7 "Spectrogram 1" 1 7242.070477468 7252.146495652 192.308 339.209 "2022/1/18" "7:26:23.0705" "7:26:33.1465" 10.076 "UK" "UK" "These look like really faint fish pulses but I want to double check [JM-- I agree!]"
8 "Spectrogram 1" 1 7468.917758927 7474.888732665 0 23570.226 "2022/1/18" "7:30:09.9178" "7:30:15.8887" 5.971 "" "" "hydrophone interference? [JM-- yes sounds like something bumping against hydrophone]"
9 "Spectrogram 1" 1 7707.172069382 7714.262600697 0 211.528 "2022/1/18" "7:34:08.1721" "7:34:15.2626" 7.0905 "fish" "p" "Possible fish pulse but want to double check [JM--agreed I think these are fish; updated annotation]"
10 "Spectrogram 1" 1 7928.259830339 7931.120921922 71.768 1170.957 "2022/1/18" "7:37:49.2598" "7:37:52.1209" 2.8611 "UK" "UK" "Possible fish grunt"
11 "Spectrogram 1" 1 8174.885962307 8176.627496314 0 211.528 "2022/1/18" "7:41:55.8860" "7:41:57.6275" 1.7415 "UK" "UK" "possible fish noise"
12 "Spectrogram 1" 1 10287.354517191 10300.291626958 441.942 1057.638 "2022/1/18" "8:17:08.3545" "8:17:21.2916" 12.9371 "fish" "pulse" ""
13 "Spectrogram 1" 1 10278.895637727 10318.453338747 151.091 370.173 "2022/1/18" "8:16:59.8956" "8:17:39.4533" 39.5577 "fish" "pulse" ""
14 "Spectrogram 1" 1 12775.322720571 12779.925346162 0 143.537 "2022/1/18" "8:58:36.3227" "8:58:40.9253" 4.6026 "UK" "" "Minke???? [JM-- this looks the same as your other UK low-frequency pulses. leave as uk for now]"
15 "Spectrogram 1" 1 12819.769175089 12836.438143443 0 83.1 "2022/1/18" "8:59:20.7692" "8:59:37.4381" 16.669 "UK" "" "More Minke??? [JM--same comment as above]"
16 "Spectrogram 1" 1 13548.377320563 13580.09811855 234.191 1174.734 "2022/1/18" "9:11:29.3773" "9:12:01.0981" 31.7208 "fish" "Pulse" "double check [JM-- yep these are fish!]"
17 "Spectrogram 1" 1 13883.946082182 13887.30475491 343.732 453.274 "2022/1/18" "9:17:04.9461" "9:17:08.3048" 3.3587 "fish" "pulse" "confident about this one"
18 "Spectrogram 1" 1 14535.677940768 14544.012424945 0 415.501 "2022/1/18" "9:27:56.6779" "9:28:05.0124" 8.3345 "uk" "uk" "double check [JM-- sounds more like a right whale or humpback if anything; changed annotation to uk]"
19 "Spectrogram 1" 1 14582.684191466 14586.63155943 0 39.083 "2022/1/18" "9:28:43.6842" "9:28:47.6316" 3.9474 "UK" "UK" "possible fish pulses"
