"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
1 "Spectrogram 1" 1 1917.803729 1923.084101 241.611 1013.423 "2021/5/10" "6:18:48.8037" "6:18:54.0841" 5.2804 "fish" "p" ""
2 "Spectrogram 1" 1 4414.327089 4415.355126 362.416 885.906 "2021/5/10" "7:00:25.3271" "7:00:26.3551" 1.028 "fish" "p" ""
3 "Spectrogram 1" 1 4436.018676 4439.990638 20.134 100.671 "2021/5/10" "7:00:47.0187" "7:00:50.9906" 3.972 "uk" "uk" "lf rumble"
4 "Spectrogram 1" 1 5865.55139 5866.579427 0 114.094 "2021/5/10" "7:24:36.5514" "7:24:37.5794" 1.028 "uk" "uk" "lf pulse"
5 "Spectrogram 1" 1 7991.644841 7997.205587 0 107.383 "2021/5/10" "8:00:02.6448" "8:00:08.2056" 5.5607 "uk" "uk" "lf rumble"
6 "Spectrogram 1" 1 8094.878488 8095.439235 382.55 798.658 "2021/5/10" "8:01:45.8785" "8:01:46.4392" 0.5607 "fish" "p" ""
7 "Spectrogram 1" 1 8539.056072 8540.224296 0 174.497 "2021/5/10" "8:09:10.0561" "8:09:11.2243" 1.1682 "uk" "uk" "lf pulse"
9 "Spectrogram 1" 1 11625.46728 11626.35513 0 161.074 "2021/5/10" "9:00:36.4673" "9:00:37.3551" 0.8878 "uk" "uk" "lf pulse"
10 "Spectrogram 1" 1 11686.94392 11693.15887 0 181.208 "2021/5/10" "9:01:37.9439" "9:01:44.1589" 6.2149 "uk" "uk" "lf rumble"
11 "Spectrogram 1" 1 11745.61681 11749.54205 308.725 939.597 "2021/5/10" "9:02:36.6168" "9:02:40.5421" 3.9252 "fish" "p" ""
12 "Spectrogram 1" 1 15237.11215 15238.18691 0 154.362 "2021/5/10" "10:00:48.1122" "10:00:49.1869" 1.0748 "uk" "uk" "lf pulse"
13 "Spectrogram 1" 1 15277.20559 15283.88783 0 174.497 "2021/5/10" "10:01:28.2056" "10:01:34.8878" 6.6822 "uk" "uk" "lf rumble"
14 "Spectrogram 1" 1 15286.90654 15288.63551 268.456 966.443 "2021/5/10" "10:01:37.9065" "10:01:39.6355" 1.729 "fish" "p" ""
15 "Spectrogram 1" 1 18803.58878 18805.13084 0 100.671 "2021/5/10" "11:00:14.5888" "11:00:16.1308" 1.5421 "uk" "uk" "lf pulse"
16 "Spectrogram 1" 1 18824.85046 18825.45793 342.282 865.772 "2021/5/10" "11:00:35.8505" "11:00:36.4579" 0.6075 "fish" "p" ""
17 "Spectrogram 1" 1 18906.68224 18910.88785 0 107.383 "2021/5/10" "11:01:57.6822" "11:02:01.8878" 4.2056 "uk" "uk" "lf rumble"
18 "Spectrogram 1" 1 22430.28037 22431.44859 13.423 87.248 "2021/5/10" "12:00:40.2804" "12:00:41.4486" 1.1682 "uk" "uk" "lf pulse"
19 "Spectrogram 1" 1 22624.47662 22628.40185 0 120.805 "2021/5/10" "12:03:54.4766" "12:03:58.4018" 3.9252 "uk" "uk" "lf rumble"
20 "Spectrogram 1" 1 22756.28971 22758.34579 382.55 879.195 "2021/5/10" "12:06:06.2897" "12:06:08.3458" 2.0561 "fish" "p" ""
21 "Spectrogram 1" 1 26098.49532 26099.94392 0 107.383 "2021/5/10" "13:01:48.4953" "13:01:50.9439" 1.4486 "uk" "uk" "lf pulse"
22 "Spectrogram 1" 1 26168.85046 26174.45793 0 214.765 "2021/5/10" "13:02:59.8505" "13:03:04.4579" 5.6075 "uk" "uk" "lf rumble"
23 "Spectrogram 1" 1 26182.82241 26184.78503 382.55 906.04 "2021/5/10" "13:03:13.8224" "13:03:15.7850" 1.9626 "fish" "p" ""
24 "Spectrogram 1" 1 29596.53271 29597.37383 0 120.805 "2021/5/10" "14:00:06.5327" "14:00:07.3738" 0.8411 "uk" "uk" "lf pulse"
25 "Spectrogram 1" 1 29649.31776 29654.78504 0 114.094 "2021/5/10" "14:00:59.3178" "14:01:05.7850" 5.4673 "uk" "uk" "lf rumble"
26 "Spectrogram 1" 1 29654.45794 29655.48598 362.416 932.886 "2021/5/10" "14:01:04.4579" "14:01:05.4860" 1.028 "fish" "p" ""
27 "Spectrogram 1" 1 33226.72897 33228.03738 6.711 127.517 "2021/5/10" "15:00:36.7290" "15:00:38.0374" 1.3084 "uk" "uk" "lf pulse"
28 "Spectrogram 1" 1 33318.56075 33324.40187 20.134 114.094 "2021/5/10" "15:02:08.5607" "15:02:14.4019" 5.8411 "uk" "uk" "lf rumble"
29 "Spectrogram 1" 1 33433.47663 33435.06542 395.973 724.832 "2021/5/10" "15:04:03.4766" "15:04:05.0654" 1.5888 "fish" "p" ""
30 "Spectrogram 1" 1 36814.74765 36816.00933 0 174.497 "2021/5/10" "16:00:24.7476" "16:00:26.0093" 1.2617 "uk" "uk" "lf pulse"
31 "Spectrogram 1" 1 36824.46727 36829.60746 0 114.094 "2021/5/10" "16:00:34.4673" "16:00:39.6075" 5.1402 "uk" "uk" "lf rumble"
33 "Spectrogram 1" 1 39346.06542 39346.81308 382.55 778.523 "2021/5/10" "16:42:36.0654" "16:42:37.8131" 0.7477 "fish" "p" ""
34 "Spectrogram 1" 1 40392.42057 40397.60748 0 147.651 "2021/5/10" "17:00:02.4206" "17:00:07.6075" 5.1869 "uk" "uk" "lf rumble"
35 "Spectrogram 1" 1 40412.28037 40413.30841 20.134 127.517 "2021/5/10" "17:00:22.2804" "17:00:23.3084" 1.028 "uk" "uk" "lf pulse"
36 "Spectrogram 1" 1 40547.24298 40547.757 389.262 798.658 "2021/5/10" "17:02:37.2430" "17:02:37.7570" 0.514 "fish" "p" ""
37 "Spectrogram 1" 1 44070.96262 44073.3458 13.423 127.517 "2021/5/10" "18:01:20.9626" "18:01:22.3458" 2.3832 "uk" "uk" "lf pulse"
38 "Spectrogram 1" 1 44081.8972 44082.73832 348.993 744.966 "2021/5/10" "18:01:31.8972" "18:01:32.7383" 0.8411 "fish" "p" ""
39 "Spectrogram 1" 1 44169.10281 44175.69159 0 261.745 "2021/5/10" "18:02:58.1028" "18:03:05.6916" 6.5888 "uk" "uk" "lf rumble"
40 "Spectrogram 1" 1 47651.27103 47655.89719 0 114.094 "2021/5/10" "19:01:00.2710" "19:01:05.8972" 4.6262 "uk" "uk" "lf rumble"
41 "Spectrogram 1" 1 47660.71028 47662.01869 0 114.094 "2021/5/10" "19:01:10.7103" "19:01:11.0187" 1.3084 "uk" "uk" "lf pulse"
43 "Spectrogram 1" 1 51211.81308 51218.68224 0 308.725 "2021/5/10" "20:00:21.8131" "20:00:28.6822" 6.8692 "uk" "uk" "lf rumble"
44 "Spectrogram 1" 1 51320 51322.33645 0 120.805 "2021/5/10" "20:02:09.0000" "20:02:11.3365" 2.3365 "uk" "uk" "lf pulse"
45 "Spectrogram 1" 1 52318.49532 52319.757 402.685 852.349 "2021/5/10" "20:18:48.4953" "20:18:49.7570" 1.2617 "fish" "p" ""
46 "Spectrogram 1" 1 54924.1215 54925.243 0 73.826 "2021/5/10" "21:02:13.1215" "21:02:14.2430" 1.1215 "uk" "uk" "lf pulse"
47 "Spectrogram 1" 1 54992.56075 54995.08411 0 127.517 "2021/5/10" "21:03:22.5607" "21:03:24.0841" 2.5234 "uk" "uk" "lf rumble"
48 "Spectrogram 1" 1 55154.74766 55156.75701 395.973 832.215 "2021/5/10" "21:06:04.7477" "21:06:06.7570" 2.0094 "fish" "p" ""
49 "Spectrogram 1" 1 58445.14953 58445.85047 0 73.826 "2021/5/10" "22:00:54.1495" "22:00:55.8505" 0.7009 "uk" "uk" "lf pulse"
50 "Spectrogram 1" 1 58473.6542 58477.06541 0 100.671 "2021/5/10" "22:01:23.6542" "22:01:26.0654" 3.4112 "uk" "uk" "lf rumble"
