name,r2,value
npz_id,0.9333368974253808,0.001
network,0.590717742209675,0.001
light_reg,0.004248176054413855,0.956
wind_ampm_avg_sc,0.6172154559410024,0.001
rain_sc,0.5059222806393718,0.001
tide_sc,0.42028372308969153,0.001
spwh_pres,0.2342792933563067,0.003
bal_pres,0.1722836668365488,0.005
dol_pres,0.12615640886790147,0.023
mnk_pres,0.09254861049291098,0.081
hbw_pres,0.0898902285720642,0.075
ves_pres,0.039775396096690174,0.316
fish_c_pres,0.028668970524194128,0.436
shr_pres,0.019930568205742204,0.546
