Dep_ID,month_UTC,light_reg,tide_min,tide_max,tide_med,rain_min,rain_max,rain_med,wind_min,wind_max,wind_med
CGMP_201807_CG,7,day,1.393,1.393,1.393,97.6,97.6,97.6,15.8,15.8,15.8
CGMP_201807_CG,7,night,2.0029999999999997,2.0029999999999997,2.0029999999999997,97.6,97.6,97.6,15.8,15.8,15.8
CGMP_201807_CG,7,twilight,1.582,1.582,1.582,97.6,97.6,97.6,15.8,15.8,15.8
CGMP_201812_CG,1,day,1.986,1.986,1.986,152.3,152.3,152.3,17.9,17.9,17.9
CGMP_201812_CG,1,night,1.2120000000000002,1.2120000000000002,1.2120000000000002,152.3,152.3,152.3,17.9,17.9,17.9
CGMP_201812_CG,1,twilight,1.408,1.408,1.408,152.3,152.3,152.3,17.9,17.9,17.9
CGMP_201812_CG,2,day,1.956,1.956,1.956,178.1,178.1,178.1,17.2,17.2,17.2
CGMP_201812_CG,2,night,1.271,1.271,1.271,178.1,178.1,178.1,17.2,17.2,17.2
CGMP_201812_CG,2,twilight,1.196,1.196,1.196,178.1,178.1,178.1,17.2,17.2,17.2
CGMP_201812_CG,12,day,1.869,1.869,1.869,126.5,126.5,126.5,17.65,17.65,17.65
CGMP_201812_CG,12,night,1.213,1.213,1.213,126.5,126.5,126.5,17.65,17.65,17.65
CGMP_201812_CG,12,twilight,1.287,1.287,1.287,126.5,126.5,126.5,17.65,17.65,17.65
CGMP_201904_CG,4,day,1.58,1.58,1.58,167.3,167.3,167.3,15.95,15.95,15.95
CGMP_201904_CG,4,night,1.628,1.628,1.628,167.3,167.3,167.3,15.95,15.95,15.95
CGMP_201904_CG,4,twilight,1.365,1.365,1.365,167.3,167.3,167.3,15.95,15.95,15.95
CGMP_201904_CG,5,day,1.374,1.374,1.374,144.3,144.3,144.3,15.05,15.05,15.05
CGMP_201904_CG,5,night,1.6749999999999998,1.6749999999999998,1.6749999999999998,144.3,144.3,144.3,15.05,15.05,15.05
CGMP_201904_CG,5,twilight,1.326,1.326,1.326,144.3,144.3,144.3,15.05,15.05,15.05
CGMP_201904_CG,6,day,1.297,1.297,1.297,133.2,133.2,133.2,15.55,15.55,15.55
CGMP_201904_CG,6,night,1.792,1.792,1.792,133.2,133.2,133.2,15.55,15.55,15.55
CGMP_201904_CG,6,twilight,1.44,1.44,1.44,133.2,133.2,133.2,15.55,15.55,15.55
DAMPIER_202009_DNE,9,day,9.551,9.551,9.551,1.4,1.4,1.4,22.75,22.75,22.75
DAMPIER_202009_DNE,9,night,9.529,9.529,9.529,1.4,1.4,1.4,22.75,22.75,22.75
DAMPIER_202009_DNE,9,twilight,5.4879999999999995,5.4879999999999995,5.4879999999999995,1.4,1.4,1.4,22.75,22.75,22.75
DAMPIER_202009_DNE,10,day,9.332999999999998,9.332999999999998,9.332999999999998,0.4,0.4,0.4,24.049999999999997,24.049999999999997,24.049999999999997
DAMPIER_202009_DNE,10,night,8.689,8.689,8.689,0.4,0.4,0.4,24.049999999999997,24.049999999999997,24.049999999999997
DAMPIER_202009_DNE,10,twilight,5.763,5.763,5.763,0.4,0.4,0.4,24.049999999999997,24.049999999999997,24.049999999999997
MURAT_202002_MRE,2,day,0.957,0.957,0.957,13.6,13.6,13.6,21.85,21.85,21.85
MURAT_202002_MRE,2,night,1.113,1.113,1.113,13.6,13.6,13.6,21.85,21.85,21.85
MURAT_202002_MRE,2,twilight,0.7430000000000001,0.7430000000000001,0.7430000000000001,13.6,13.6,13.6,21.85,21.85,21.85
MURAT_202002_MRE,3,day,1.285,1.285,1.285,15.8,15.8,15.8,20.15,20.15,20.15
MURAT_202002_MRE,3,night,1.125,1.125,1.125,15.8,15.8,15.8,20.15,20.15,20.15
MURAT_202002_MRE,3,twilight,1.08,1.08,1.08,15.8,15.8,15.8,20.15,20.15,20.15
MURAT_202002_MRE,4,day,1.013,1.013,1.013,19.9,19.9,19.9,17.75,17.75,17.75
MURAT_202002_MRE,4,night,0.96,0.96,0.96,19.9,19.9,19.9,17.75,17.75,17.75
MURAT_202002_MRE,4,twilight,0.8070000000000002,0.8070000000000002,0.8070000000000002,19.9,19.9,19.9,17.75,17.75,17.75
NINGALOO_201909_NGN,10,day,2.26,2.26,2.26,1.4,1.4,1.4,22.3,22.3,22.3
NINGALOO_201909_NGN,10,night,2.21,2.21,2.21,1.4,1.4,1.4,22.3,22.3,22.3
NINGALOO_201909_NGN,10,twilight,1.53,1.53,1.53,1.4,1.4,1.4,22.3,22.3,22.3
NINGALOO_201909_NGN,11,day,2,2,2,1.8,1.8,1.8,23.1,23.1,23.1
NINGALOO_201909_NGN,11,night,1.89,1.89,1.89,1.8,1.8,1.8,23.1,23.1,23.1
NINGALOO_201909_NGN,11,twilight,1.37,1.37,1.37,1.8,1.8,1.8,23.1,23.1,23.1
SIMP_201808_WP,8,day,1.3250000000000002,1.3250000000000002,1.3250000000000002,79.5,79.5,79.5,14.85,14.85,14.85
SIMP_201808_WP,8,night,1.977,1.977,1.977,79.5,79.5,79.5,14.85,14.85,14.85
SIMP_201808_WP,8,twilight,1.532,1.532,1.532,79.5,79.5,79.5,14.85,14.85,14.85
SIMP_201812_WP,12,day,1.869,1.869,1.869,144.9,144.9,144.9,18.8,18.8,18.8
SIMP_201812_WP,12,night,1.213,1.213,1.213,144.9,144.9,144.9,18.8,18.8,18.8
SIMP_201812_WP,12,twilight,1.287,1.287,1.287,144.9,144.9,144.9,18.8,18.8,18.8
SIMP_201906_WP,6,day,1.218,1.218,1.218,120.8,120.8,120.8,12.6,12.6,12.6
SIMP_201906_WP,6,night,1.597,1.597,1.597,120.8,120.8,120.8,12.6,12.6,12.6
SIMP_201906_WP,6,twilight,1.214,1.214,1.214,120.8,120.8,120.8,12.6,12.6,12.6
SIMP_201906_WP,7,day,1.613,1.613,1.613,72.5,72.5,72.5,12.9,12.9,12.9
SIMP_201906_WP,7,night,1.944,1.944,1.944,72.5,72.5,72.5,12.9,12.9,12.9
SIMP_201906_WP,7,twilight,1.762,1.762,1.762,72.5,72.5,72.5,12.9,12.9,12.9
SWC_202201_SWS,2,day,0.948,0.948,0.948,11.6,11.6,11.6,29.35,29.35,29.35
SWC_202201_SWS,2,night,0.8820000000000001,0.8820000000000001,0.8820000000000001,11.6,11.6,11.6,29.35,29.35,29.35
SWC_202201_SWS,2,twilight,0.8640000000000001,0.8640000000000001,0.8640000000000001,11.6,11.6,11.6,29.35,29.35,29.35
SWC_202201_SWS,3,day,0.92,0.92,0.92,23,23,23,26.8,26.8,26.8
SWC_202201_SWS,3,night,0.8540000000000001,0.8540000000000001,0.8540000000000001,23,23,23,26.8,26.8,26.8
SWC_202201_SWS,3,twilight,0.896,0.896,0.896,23,23,23,26.8,26.8,26.8
